idiom_token,label,num_of_examples,total,idiomaticity_ratio,degree_of_idiomaticity,ccnews_rarity,morphology_type
IDjumptoconclusionsID,idiom,97,97,1.0,highly_idiomatic,ccnews_moderately_rare,high_morphology
IDjumptoconclusionsID,literal,0,97,0.0,highly_idiomatic,ccnews_moderately_rare,high_morphology
IDonsomeonesmindID,idiom,106,110,0.9636363636363636,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDonsomeonesmindID,literal,4,110,0.03636363636363636,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDundertheroseID,idiom,0,2,0.0,highly_literal,ccnews_very_rare,moderate_morphology
IDundertheroseID,literal,2,2,1.0,highly_literal,ccnews_very_rare,moderate_morphology
IDneckandneckID,idiom,40,40,1.0,highly_idiomatic,ccnews_frequent,no_morphology
IDneckandneckID,literal,0,40,0.0,highly_idiomatic,ccnews_frequent,no_morphology
IDatfulltiltID,idiom,6,6,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDatfulltiltID,literal,0,6,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDgotothewallID,idiom,41,49,0.8367346938775511,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDgotothewallID,literal,8,49,0.16326530612244897,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDinsomeonespocketID,idiom,2,159,0.012578616352201259,highly_literal,ccnews_very_rare,moderate_morphology
IDinsomeonespocketID,literal,157,159,0.9874213836477987,highly_literal,ccnews_very_rare,moderate_morphology
IDsafeashousesID,idiom,9,9,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDsafeashousesID,literal,0,9,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDjointheclubID,idiom,7,134,0.05223880597014925,highly_literal,ccnews_moderately_rare,high_morphology
IDjointheclubID,literal,127,134,0.9477611940298507,highly_literal,ccnews_moderately_rare,high_morphology
IDmakesomeonesdayID,idiom,32,35,0.9142857142857143,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDmakesomeonesdayID,literal,3,35,0.08571428571428572,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDtakethewindoutofsomeonessailsID,idiom,10,10,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDtakethewindoutofsomeonessailsID,literal,0,10,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDflashinthepanID,idiom,22,23,0.9565217391304348,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDflashinthepanID,literal,1,23,0.043478260869565216,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDmuchofamuchnessID,idiom,3,3,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDmuchofamuchnessID,literal,0,3,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDintheworksID,idiom,6,123,0.04878048780487805,highly_literal,ccnews_frequent,high_morphology
IDintheworksID,literal,117,123,0.9512195121951219,highly_literal,ccnews_frequent,high_morphology
IDoneofthosethingsID,idiom,92,111,0.8288288288288288,highly_idiomatic,ccnews_frequent,moderate_morphology
IDoneofthosethingsID,literal,19,111,0.17117117117117117,highly_idiomatic,ccnews_frequent,moderate_morphology
IDmanymoonsagoID,idiom,5,5,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDmanymoonsagoID,literal,0,5,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDsparesomeonesblushesID,idiom,5,5,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDsparesomeonesblushesID,literal,0,5,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDgetalifeID,idiom,10,29,0.3448275862068966,ambiguous,ccnews_moderately_rare,high_morphology
IDgetalifeID,literal,19,29,0.6551724137931034,ambiguous,ccnews_moderately_rare,high_morphology
IDprodigalsonID,idiom,28,28,1.0,highly_idiomatic,ccnews_frequent,moderate_morphology
IDprodigalsonID,literal,0,28,0.0,highly_idiomatic,ccnews_frequent,moderate_morphology
IDgoroundincirclesID,idiom,26,27,0.9629629629629629,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDgoroundincirclesID,literal,1,27,0.037037037037037035,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDbesideyourselfID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDbesideyourselfID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDgothroughthemillID,idiom,1,1,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDgothroughthemillID,literal,0,1,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDrechargeyourbatteriesID,idiom,5,6,0.8333333333333334,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDrechargeyourbatteriesID,literal,1,6,0.16666666666666666,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDwhistledixieID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDwhistledixieID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDdrownyoursorrowsID,idiom,4,4,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDdrownyoursorrowsID,literal,0,4,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDincoldbloodID,idiom,31,31,1.0,highly_idiomatic,ccnews_frequent,no_morphology
IDincoldbloodID,literal,0,31,0.0,highly_idiomatic,ccnews_frequent,no_morphology
IDclosecallID,idiom,23,23,1.0,highly_idiomatic,ccnews_frequent,moderate_morphology
IDclosecallID,literal,0,23,0.0,highly_idiomatic,ccnews_frequent,moderate_morphology
IDsignofthetimesID,idiom,46,46,1.0,highly_idiomatic,ccnews_frequent,high_morphology
IDsignofthetimesID,literal,0,46,0.0,highly_idiomatic,ccnews_frequent,high_morphology
IDgiveasgoodasyougetID,idiom,1,1,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDgiveasgoodasyougetID,literal,0,1,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDhitthenailontheheadID,idiom,12,12,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDhitthenailontheheadID,literal,0,12,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDsquarethecircleID,idiom,23,23,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDsquarethecircleID,literal,0,23,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDinhotwaterID,idiom,18,64,0.28125,ambiguous,ccnews_frequent,moderate_morphology
IDinhotwaterID,literal,46,64,0.71875,ambiguous,ccnews_frequent,moderate_morphology
IDgetstuckintoID,idiom,28,28,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDgetstuckintoID,literal,0,28,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDloseyourshirtID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDloseyourshirtID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDdeadwoodID,idiom,16,34,0.47058823529411764,ambiguous,ccnews_moderately_rare,moderate_morphology
IDdeadwoodID,literal,18,34,0.5294117647058824,ambiguous,ccnews_moderately_rare,moderate_morphology
IDsleeproughID,idiom,61,61,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDsleeproughID,literal,0,61,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDcarrotandstickID,idiom,21,22,0.9545454545454546,highly_idiomatic,ccnews_moderately_rare,high_morphology
IDcarrotandstickID,literal,1,22,0.045454545454545456,highly_idiomatic,ccnews_moderately_rare,high_morphology
IDseparatethesheepfromthegoatsID,idiom,4,4,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDseparatethesheepfromthegoatsID,literal,0,4,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDnomanslandID,idiom,72,74,0.972972972972973,highly_idiomatic,ccnews_very_rare,no_morphology
IDnomanslandID,literal,2,74,0.02702702702702703,highly_idiomatic,ccnews_very_rare,no_morphology
IDsecondchildhoodID,idiom,6,6,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDsecondchildhoodID,literal,0,6,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDgoforthejugularID,idiom,11,11,1.0,highly_idiomatic,ccnews_moderately_rare,high_morphology
IDgoforthejugularID,literal,0,11,0.0,highly_idiomatic,ccnews_moderately_rare,high_morphology
IDputthemovesonID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDputthemovesonID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDspeakvolumesID,idiom,48,48,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDspeakvolumesID,literal,0,48,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDroundthebendID,idiom,26,92,0.2826086956521739,ambiguous,ccnews_moderately_rare,high_morphology
IDroundthebendID,literal,66,92,0.717391304347826,ambiguous,ccnews_moderately_rare,high_morphology
IDmakeapigsearofID,idiom,3,3,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDmakeapigsearofID,literal,0,3,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDtakeapowderID,idiom,2,5,0.4,ambiguous,ccnews_very_rare,moderate_morphology
IDtakeapowderID,literal,3,5,0.6,ambiguous,ccnews_very_rare,moderate_morphology
IDbetwixtandbetweenID,idiom,5,5,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDbetwixtandbetweenID,literal,0,5,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDclothearsID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDclothearsID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDtobootID,idiom,64,92,0.6956521739130435,ambiguous,ccnews_frequent,moderate_morphology
IDtobootID,literal,28,92,0.30434782608695654,ambiguous,ccnews_frequent,moderate_morphology
IDintherawID,idiom,9,16,0.5625,ambiguous,ccnews_moderately_rare,moderate_morphology
IDintherawID,literal,7,16,0.4375,ambiguous,ccnews_moderately_rare,moderate_morphology
IDgiveitawhirlID,idiom,4,4,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDgiveitawhirlID,literal,0,4,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDuptohereID,idiom,14,21,0.6666666666666666,ambiguous,ccnews_moderately_rare,no_morphology
IDuptohereID,literal,7,21,0.3333333333333333,ambiguous,ccnews_moderately_rare,no_morphology
IDshootthebreezeID,idiom,2,2,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDshootthebreezeID,literal,0,2,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDmanoftheclothID,idiom,11,11,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDmanoftheclothID,literal,0,11,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDintheblackID,idiom,16,119,0.13445378151260504,highly_literal,ccnews_frequent,high_morphology
IDintheblackID,literal,103,119,0.865546218487395,highly_literal,ccnews_frequent,high_morphology
IDinhighdudgeonID,idiom,8,8,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDinhighdudgeonID,literal,0,8,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDtakealeafoutofsomeonesbookID,idiom,19,19,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDtakealeafoutofsomeonesbookID,literal,0,19,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDeverythinginthegardenisrosyID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDeverythinginthegardenisrosyID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDcomerainorshineID,idiom,3,3,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDcomerainorshineID,literal,0,3,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDhumandhawID,idiom,7,8,0.875,highly_idiomatic,ccnews_very_rare,no_morphology
IDhumandhawID,literal,1,8,0.125,highly_idiomatic,ccnews_very_rare,no_morphology
IDblowsomeonescoverID,idiom,14,14,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDblowsomeonescoverID,literal,0,14,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDhavethehotsforID,idiom,3,3,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDhavethehotsforID,literal,0,3,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDholdsomeoneshandID,idiom,4,100,0.04,highly_literal,ccnews_very_rare,moderate_morphology
IDholdsomeoneshandID,literal,96,100,0.96,highly_literal,ccnews_very_rare,moderate_morphology
IDhairofthedogID,idiom,8,8,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDhairofthedogID,literal,0,8,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDmakeshortworkofID,idiom,20,20,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDmakeshortworkofID,literal,0,20,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDtheresnofoollikeanoldfoolID,idiom,1,1,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDtheresnofoollikeanoldfoolID,literal,0,1,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDpullupstakesID,idiom,1,1,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDpullupstakesID,literal,0,1,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDbehindthecurveID,idiom,3,3,1.0,highly_idiomatic,ccnews_frequent,no_morphology
IDbehindthecurveID,literal,0,3,0.0,highly_idiomatic,ccnews_frequent,no_morphology
IDstickyfingersID,idiom,5,14,0.35714285714285715,ambiguous,ccnews_very_rare,moderate_morphology
IDstickyfingersID,literal,9,14,0.6428571428571429,ambiguous,ccnews_very_rare,moderate_morphology
IDyourguessisasgoodasmineID,idiom,7,7,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDyourguessisasgoodasmineID,literal,0,7,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDknowtheropesID,idiom,10,11,0.9090909090909091,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDknowtheropesID,literal,1,11,0.09090909090909091,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDwalkalloverID,idiom,21,26,0.8076923076923077,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDwalkalloverID,literal,5,26,0.19230769230769232,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDinthewinkofaneyeID,idiom,1,1,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDinthewinkofaneyeID,literal,0,1,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDupintheairID,idiom,32,111,0.2882882882882883,ambiguous,ccnews_frequent,moderate_morphology
IDupintheairID,literal,79,111,0.7117117117117117,ambiguous,ccnews_frequent,moderate_morphology
IDuptonogoodID,idiom,21,21,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDuptonogoodID,literal,0,21,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDfarandawayID,idiom,27,27,1.0,highly_idiomatic,ccnews_frequent,no_morphology
IDfarandawayID,literal,0,27,0.0,highly_idiomatic,ccnews_frequent,no_morphology
IDventyourspleenID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDventyourspleenID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDagainstthegrainID,idiom,79,82,0.9634146341463414,highly_idiomatic,ccnews_frequent,high_morphology
IDagainstthegrainID,literal,3,82,0.036585365853658534,highly_idiomatic,ccnews_frequent,high_morphology
IDoutoflineID,idiom,97,113,0.8584070796460177,highly_idiomatic,ccnews_frequent,high_morphology
IDoutoflineID,literal,16,113,0.1415929203539823,highly_idiomatic,ccnews_frequent,high_morphology
IDgiveuptheghostID,idiom,34,34,1.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDgiveuptheghostID,literal,0,34,0.0,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDfillthebillID,idiom,9,10,0.9,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDfillthebillID,literal,1,10,0.1,highly_idiomatic,ccnews_moderately_rare,moderate_morphology
IDinthealtogetherID,idiom,6,6,1.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDinthealtogetherID,literal,0,6,0.0,highly_idiomatic,ccnews_very_rare,moderate_morphology
IDwateringholeID,idiom,26,44,0.5909090909090909,ambiguous,ccnews_frequent,moderate_morphology
IDwateringholeID,literal,18,44,0.4090909090909091,ambiguous,ccnews_frequent,moderate_morphology
IDnotknowyouarebornID,idiom,2,2,1.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDnotknowyouarebornID,literal,0,2,0.0,highly_idiomatic,ccnews_very_rare,no_morphology
IDrougharoundtheedgesID,idiom,2,2,1.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDrougharoundtheedgesID,literal,0,2,0.0,highly_idiomatic,ccnews_moderately_rare,no_morphology
IDtastebloodID,idiom,3,10,0.3,ambiguous,ccnews_very_rare,moderate_morphology
IDtastebloodID,literal,7,10,0.7,ambiguous,ccnews_very_rare,moderate_morphology
IDkeepalowprofileID,idiom,53,53,1.0,highly_idiomatic,ccnews_frequent,moderate_morphology
IDkeepalowprofileID,literal,0,53,0.0,highly_idiomatic,ccnews_frequent,moderate_morphology
